@RELATION goodreads_nlp
	@ATTRIBUTE text  string
	@ATTRIBUTE class        {art,fiction}
@DATA
"Art: The Definitive Visual Guide (Hardcover)",art
"The Urban Sketcher: Techniques for Seeing and Drawing on Location (Paperback)",art
"Creative Block: Get Unstuck, Discover New Ideas. Advice & Projects from 50 Successful Artists (Paperback)",art
"The Museum (Hardcover)",art
"The Art of Pixar (Hardcover)",art
"Science Ink: Tattoos of the Science Obsessed (Hardcover)",art
"The Word Made Flesh: Literary Tattoos from Bookworms Worldwide (Paperback)",art
"Camille and the Sunflowers: A Story about Vincent van Gogh (Hardcover)",art
"Art Objects: Essays on Ecstasy and Effrontery (Paperback)",art
"The Forest Lover (Paperback)",art
"Charles Bargue and Jean-Leon Gerome: Drawing Course (Hardcover)",art
"Japanese Prints (Paperback)",art
"The Complete Guide to Altered Imagery: Mixed-Media Techniques for Collage, Altered Books, Artist Journals, and More (Paperback)",art
"American Visions: The Epic History of Art in America (Hardcover)",art
"Drawing the Human Head (Paperback)",art
"Renoir, My Father (Paperback)",art
"Urgent 2nd Class: Creating Curious Collage, Dubious Documents, and Other Art from Ephemera (Paperback)",art
"Brian Froud's World of Faerie (Hardcover)",art
"The Art Thief (Hardcover)",art
"Georgia O'Keeffe, 1887-1986: Flowers in the Desert (Paperback)",art
"Drawn In: A Peek into the Inspiring Sketchbooks of 44 Fine Artists, Illustrators, Graphic Designers, and Cartoonists (Paperback)",art
"100 Artists' Manifestos: From the Futurists to the Stuckists (Paperback)",art
"Stealing the Mystic Lamb: The True Story of the World's Most Coveted Masterpiece (Hardcover)",art
"Man with a Blue Scarf: On Sitting for a Portrait by Lucian Freud (Hardcover)",art
"Lizzie Siddal: The Tragedy of a Pre-Raphaelite Supermodel (Unknown Binding)",art
"Envisioning Information (Unknown Binding)",art
"Where the Wild Things Are (Paperback)",art
"Theories and Documents of Contemporary Art: A Sourcebook of Artists' Writings (Paperback)",art
"M.C. Escher: 29 Masterworks (Paperback)",art
"A Perfect Red (Paperback)",art
"Perspective! for Comic Book Artists: How to Achieve a Professional Look in your Artwork (Paperback)",art
"How to Draw Animals (Paperback)",art
"The journey is the destination : the journals of Dan Eldon",art
"M Train (Hardcover)",art
"Tales from the Loop (Hardcover)",art
"Why Your Five-Year-Old Could Not Have Done That: Modern Art Explained (Paperback)",art
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened (Paperback)",art
"The Resurrectionist: The Lost Work of Dr. Spencer Black (Hardcover)",art
"The Book of Symbols: Reflections on Archetypal Images (Hardcover)",art
"The Society of the Spectacle (Paperback)",art
"Beauty (Hardcover)",art
"The Magical Garden of Claude Monet (Anholt's Artists)",art
"The Complete Maus (Maus, #1-2)",art
"Persepolis: The Story of a Childhood (Persepolis, #1)",art
"Maus: Un survivant raconte, tome 1: Mon père saigne l'histoire (Maus #1)",art
"How to Make a Journal of Your Life (Paperback)",art
"POPism: The Warhol Sixties (Paperback)",art
"Frida (Hardcover)",art
"Art of the Twentieth Century (Hardcover)",art
"Dalí (Hardcover)",art
"The Art of Animal Drawing: Construction, Action Analysis, Caricature (Paperback)",art
"Picasso (Paperback)",art
"Women Artists and the Surrealist Movement (Paperback)",art
"The Country Diary of an Edwardian Lady (Hardcover)",art
"Gonzo: The Art (Hardcover)",art
"Mythology: The DC Comics Art of Alex Ross (Paperback)",art
"Songs of Innocence and of Experience (Paperback)",art
"Introductory Lectures on Aesthetics (Paperback)",art
"Adulthood Is a Myth (Sarah's Scribbles, #1)",art
"The Woman Upstairs (Hardcover)",art
"Perfect Square (Hardcover)",art
"Picture This: The Near-Sighted Monkey Book (Hardcover)",art
"Contemporary Art: A Very Short Introduction (Paperback)",art
"Making the Mummies Dance: Inside the Metropolitan Museum of Art (Paperback)",art
"The Rest Is Noise: Listening to the Twentieth Century (Hardcover)",art
"Vision and Art: The Biology of Seeing (Hardcover)",art
"Existencilism (Paperback)",art
"How Do We Look: The Body, the Divine, and the Question of Civilization (Hardcover)",art
"What If... (Hardcover)",art
"The Animators (Hardcover)",art
"Oil and Marble: A Novel of Leonardo and Michelangelo (Hardcover)",art
"J.M.W. Turner, 1775-1851: The World of Light and Colour (Paperback)",art
"Go: A Kidd's Guide to Graphic Design (Hardcover)",art
"The Wes Anderson Collection (Hardcover)",art
"Saving Italy: The Race to Rescue a Nation's Treasures from the Nazis (Paperback)",art
"The Family Fang (Hardcover)",art
"The Last Nude (Hardcover)",art
"Dancing for Degas (Paperback)",art
"The Map As Art: Contemporary Artists Explore Cartography (Hardcover)",art
"Rothko (Paperback)",art
"The Flanders Panel (Paperback)",art
"Art History: A Very Short Introduction (Paperback)",art
"Roy Lichtenstein, 1923-1997 (Paperback)",art
"Constructive Anatomy (Paperback)",art
"Aesthetic Theory (Paperback)",art
"Women (Paperback)",art
"The Conspiracy of Art: Manifestos, Interviews, Essays (Paperback)",art
"The Red Tree (Hardcover)",art
"Claymates (Hardcover)",art
"Magritte (Hardcover)",art
"The Art of Forgery: The Minds, Motives and Methods of Master Forgers (Hardcover)",art
"Magritte's Marvelous Hat (Hardcover)",art
"Art Lab for Kids: 52 Creative Adventures in Drawing, Painting, Printmaking, Paper, and Mixed Media-For Budding Artists of All Ages (Paperback)",art
"Page by Paige (Paperback)",art
"Little Blue and Little Yellow (Paperback)",art
"The Virgin Blue (Paperback)",art
"Where the Sidewalk Ends (Hardcover)",art
"Tales from Outer Suburbia (Hardcover)",art
"The Guerilla Art Kit (Hardcover)",art
"The Elements of Drawing (Paperback)",art
"Landscape and Memory (Paperback)",art
"Understanding Exposure: How to Shoot Great Photographs with a Film or Digital Camera (Paperback)",art
"M.C. Escher: His Life and Complete Graphic Work (With a Fully Illustrated Catalogue)",art
"Movements in Art since 1945: Issues and Concepts (Paperback)",art
"What We See When We Read (Paperback)",art
"The House Girl (Hardcover)",art
"101 Things to Learn in Art School (Hardcover)",art
"Bird by Bird: Some Instructions on Writing and Life (Paperback)",art
"Bridget's Beret (Hardcover)",art
"Image-Music-Text (Paperback)",art
"The Venetian's Wife: A Strangely Sensual Tale of a Renaissance Explorer, a Computer, and a Metamorphosis (Hardcover)",art
"Chromophobia (Paperback)",art
"Art and Culture: Critical Essays (Paperback)",art
"What Painting Is (Paperback)",art
"Lydia Cassatt Reading the Morning Paper (Paperback)",art
"Leonardo Da Vinci, 1452-1519 (Paperback)",art
"Hey, Kiddo (Paperback)",art
"Van Gogh (Kindle Edition)",art
"Pocket Full of Colors: The Magical World of Mary Blair, Disney Artist Extraordinaire (Hardcover)",art
"Pierre-Auguste Renoir, 1841-1919: A Dream of Harmony (Paperback)",art
"The Unknown Masterpiece (Paperback)",art
"A Tolkien Bestiary (Hardcover)",art
"The Improbability of Love (Hardcover)",art
"My Favorite Things (Hardcover)",art
"The Complete Pin-Ups (Hardcover)",art
"Chuck Close: Face Book (Hardcover)",art
"The Art of Cruelty: A Reckoning (Hardcover)",art
"Okay for Now (Hardcover)",art
"Dave the Potter: Artist, Poet, Slave (Hardcover)",art
"The Unknown Matisse, 1869-1908 (Paperback)",art
"Blankets (Paperback)",art
"Spectrum 1: The Best in Contemporary Fantastic Art (Paperback)",art
"The Photograph as Contemporary Art (Paperback)",art
"Arthur Rackham: A Life with Illustration (Paperback)",art
"The Family of Man (Paperback)",art
"Tim Burton's Nightmare Before Christmas: The Film, the Art, the Vision (Paperback)",art
"How to See: Looking, Talking, and Thinking about Art (Hardcover)",art
"Swatch: The Girl Who Loved Color (Hardcover)",art
"The Art of the Con: The Most Notorious Fakes, Frauds, and Forgeries in the Art World (Hardcover)",art
"Lost in Translation: An Illustrated Compendium of Untranslatable Words from Around the World (Hardcover)",art
"The Sick Rose: Disease and the Art of Medical Illustration (Hardcover)",art
"Cabinet of Curiosities: My Notebooks, Collections, and Other Obsessions (Hardcover)",art
"The Art of Whimsical Lettering (Paperback)",art
"Journey (Hardcover)",art
"Banksy.: You Are an Acceptable Level of Threat (Hardcover)",art
"How Music Works (Hardcover)",art
"Wonderstruck (Hardcover)",art
"Classical Art: From Greece to Rome (Paperback)",art
"The Infinity of Lists (Hardcover)",art
"Fun Home: A Family Tragicomic (Paperback)",art
"The Gothic Image: Religious Art in France of the Thirteenth Century (Paperback)",art
"Hiroshige (Paperback)",art
"Tamara de Lempicka 1898-1980 (Taschen Basic Art)",art
"Sandro Botticelli 1444/45 - 1510 (Paperback)",art
"Georgia O'Keeffe: A Life (Paperback)",art
"I'd Rather Be Reading: A Library of Art for Book Lovers (Hardcover)",art
"33 Artists in 3 Acts (Paperback)",art
"The Little Prince (Paperback)",art
"Freehand: Sketching Tips and Tricks Drawn from Art (Paperback)",art
"Through the Woods (Hardcover)",art
"I Always Loved You (Hardcover)",art
"The Flamethrowers (Hardcover)",art
"Bento's Sketchbook (Paperback)",art
"Blue Chicken (Hardcover)",art
"Graphic Storytelling and Visual Narrative (Paperback)",art
"A Concise History of Modern Painting (Paperback)",art
"The Plain Janes (Janes, #1)",art
"Noa Noa (Hardcover)",art
"Loving Frank (Hardcover)",art
"Human Anatomy for Artists: The Elements of Form (Hardcover)",art
"Salvador Dali (Hardcover)",art
"Six Years: The Dematerialization of the Art Object from 1966 to 1972 (Paperback)",art
"Banging Your Head Against a Brick Wall (Paperback)",art
"Goblins! A Survival Guide and Fiasco in Four Parts (Hardcover)",art
"Dustcovers: The Collected Sandman Covers, 1989-1996 (Paperback)",art
"The Artist's Complete Guide to Drawing the Head (Paperback)",art
"The Marriage of Heaven and Hell (Paperback)",art
"The Stones of Venice (Paperback)",art
"From Bauhaus to Our House (Paperback)",art
"Why Cats Paint: A Theory of Feline Aesthetics (Hardcover)",art
"The Museum of Modern Love (Paperback)",art
"100 Ideas that Changed Art (Paperback)",art
"The One and Only Ivan (Hardcover)",art
"Louvre: All the Paintings (Hardcover)",art
"Lost & Found (Hardcover)",art
"Black: The History of a Color (Hardcover)",art
"Vermeer's Hat: The Seventeenth Century and the Dawn of the Global World (Hardcover)",art
"Cat's Eye (Paperback)",art
"Speak (Hardcover)",art
"Meggs' History of Graphic Design (Hardcover)",art
"One Hundred Demons (Paperback)",art
"Secret Lives of Great Artists: What Your Teachers Never Told You About Master Painters and Sculptors (Paperback)",art
"Rendering in Pen and Ink: The Classic Book on Pen and Ink Techniques for Artists, Illustrators, Architects, and Designers (Paperback)",art
"The Mysteries of Harris Burdick (Unknown Binding)",art
"Taking Flight: Inspiration and Techniques to Give Your Creative Spirit Wings (Paperback)",art
"Discovering Great Artists: Hands-On Art for Children in the Styles of the Great Masters (Paperback)",art
"Inside the White Cube: The Ideology of the Gallery Space (Paperback)",art
"Fairies (Hardcover)",art
"Obey: Supply and Demand (Hardcover)",art
"Beautiful Losers: Contemporary Art and Street Culture (Paperback)",art
"Photographic: The Life of Graciela Iturbide (Hardcover)",art
"Icon (Paperback)",art
"Da Vinci's Ghost: Genius, Obsession, and How Leonardo Created the World in His Own Image (Hardcover)",art
"The Tiny Book of Tiny Stories, Vol. 1 (Hardcover)",art
"Laocoon: An Essay on the Limits of Painting and Poetry (Paperback)",art
"I Am Madame X (Paperback)",art
"An Artist of the Floating World (Paperback)",art
"A Philosophical Enquiry into the Origin of our Ideas of the Sublime and Beautiful (Paperback)",art
"Katie Meets The Impressionists (Paperback)",art
"Spectrum 12: The Best in Contemporary Fantastic Art (Hardcover)",art
"The Mission of Art (Paperback)",art
"Born Under Saturn: The Character and Conduct of Artists (Paperback)",art
"The Raphael Affair (Jonathan Argyll, #1)",art
"Everyday Watercolor: Learn to Paint Watercolor in 30 Days (Paperback)",art
"The Marvels (Hardcover)",art
"Pen & Ink: Tattoos and the Stories Behind Them (Hardcover)",art
"Well-Read Women: Portraits of Fiction's Most Beloved Heroines (Hardcover)",art
"Art Made from Books: Altered, Sculpted, Carved, Transformed (Hardcover)",art
"Brush of the Gods (Hardcover)",art
"The Where, the Why, and the How: 75 Artists Illustrate Wondrous Mysteries of Science (Hardcover)",art
"Mousterpiece (Hardcover)",art
"The Birth of Tragedy (Paperback)",art
"The Complete Persepolis (Paperback)",art
"Tim Burton (Paperback)",art
"Tulip Fever (Paperback)",art
"Sunflowers (Paperback)",art
"Still Life (Chief Inspector Armand Gamache, #1)",art
"Mauve: How One Man Invented a Colour That Changed the World (Paperback)",art
"An Episode in the Life of a Landscape Painter (Paperback)",art
"Watchmen (Watchmen #1-12)",art
"Offerings (Paperback)",art
"When Pigasso Met Mootisse (Hardcover)",art
"A Photographer's Life: 1990-2005 (Hardcover)",art
"A Humument: A Treated Victorian Novel (Paperback)",art
"Bauhaus 1919-1933 (Hardcover)",art
"The Art of Monsters, Inc. (Hardcover)",art
"The Forgetting Room: A Fiction (Paperback)",art
"Visual Chronicles: The No-Fear Guide to Creating Art Journals, Creative Manifestos & Altered Books (Paperback)",art
"The Doubtful Guest (Hardcover)",art
"Little Fires Everywhere (Hardcover)",art
"The Day the Crayons Came Home (Hardcover)",art
"The Art of Mulan (Hardcover)",art
"The Steampunk Bible (Hardcover)",art
"The Art of Alice: Madness Returns (Hardcover)",art
"Dialogues With Marcel Duchamp (Paperback)",art
"Little People in the City: The Street Art of Slinkachu (Hardcover)",art
"Principles of Art History: The Problem of the Development of Style in Later Art (Paperback)",art
"The Art of Travel (Paperback)",art
"Bluebeard (Paperback)",art
"The Goblins of Labyrinth (Hardcover)",art
"A Month in the Country (Paperback)",art
"Art in Renaissance Italy (Paperback)",art
"Pre-Raphaelite Sisterhood (Paperback)",art
"Leonardo da Vinci: Flights of the Mind (Paperback)",art
"The Mind in the Cave: Consciousness and the Origins of Art (Paperback)",art
"Francis Bacon: The Logic of Sensation (Paperback)",art
"Duchamp (Paperback)",art
"The Great American Pin-Up (Hardcover)",art
"Dinotopia: The World Beneath (Paperback)",art
"The Masterpiece (Paperback)",art
"Okami Official Complete Works (Paperback)",art
"Keith Haring: The Boy Who Just Kept Drawing (Hardcover)",art
"The Night Gardener (Hardcover)",art
"Awkward (Awkward, #1)",art
"Drawing and Painting Fantasy Landscapes and Cityscapes (Paperback)",art
"The Social History of Art: Volume 1: From Prehistoric Times to the Middle Ages (Paperback)",art
"Building Stories (Hardcover)",art
"Caveat Emptor: The Secret Life of an American Art Forger (Hardcover)",art
"The Art Museum (Hardcover)",art
"Digital Painting Techniques (Paperback)",art
"The Art of My Neighbor Totoro (Hardcover)",art
"Asterios Polyp (Hardcover)",art
"Basquiat",art
"The World to Come (Paperback)",art
"Art in Renaissance Italy: 1350-1500 (Paperback)",art
"The Civilization of the Renaissance in Italy (Paperback)",art
"Proust Was a Neuroscientist (Kindle Edition)",art
"Greek Art (Paperback)",art
"The Transfiguration of the Commonplace: A Philosophy of Art (Paperback)",art
"Modernism: The Lure of Heresy from Baudelaire to Beckett and Beyond (Hardcover)",art
"Action Jackson (Paperback)",art
"Hieronymus Bosch (Hardcover)",art
"Drawing Scenery: Seascapes and Landscapes (Paperback)",art
"The Success and Failure of Picasso (Paperback)",art
"The Art of Maurice Sendak (Hardcover)",art
"Mind Fields: The Art of Jacek Yerka, the Fiction of Harlan Ellison (Paperback)",art
"Ansel Adams: 400 Photographs (Hardcover)",art
"Free Play: Improvisation in Life and Art (Paperback)",art
"The Decorated Journal: Creating Beautifully Expressive Journal Pages (Paperback)",art
"I, Mona Lisa (Paperback)",art
"Acrylic Revolution: New Tricks and Techniques for Working with the World's Most Versatile Medium (Hardcover)",art
"Nightlights (Nightlights #1)",art
"Art Now:  Artists at the Rise of the New Millennium (Hardcover)",art
"Degas (Basic Art)",art
"The Girl Who Drew Butterflies: How Maria Merian's Art Changed Science (Hardcover)",art
"Hamilton: The Revolution (Hardcover)",art
"Symbolism (Hardcover)",art
"Edward Hopper Paints His World (Hardcover)",art
"Girls Standing on Lawns (Hardcover)",art
"The Painter (Hardcover)",art
"Cézanne (Taschen Basic Art)",art
"The Art Journal Workshop: Break Through, Explore, and Make it Your Own (Paperback)",art
"Rome: A Cultural, Visual, and Personal History (Hardcover)",art
"Diego Rivera: His World and Ours (Hardcover)",art
"Art History, Volume I (w/CD-ROM)",art
"Tale as Old as Time: The Art and Making of Beauty and the Beast (Hardcover)",art
"The Art of Gothic: Architecture, Sculpture, Painting (Hardcover)",art
"Living Out Loud: Activities to Fuel a Creative Life (Hardcover)",art
"The Ongoing Moment (Paperback)",art
"The Medici Conspiracy: The Illicit Journey of Looted Antiquities--From Italy's Tomb Raiders to the World's Greatest Museums (Hardcover)",art
"Surrealism (Paperback)",art
"100 Years of Fashion Illustration (Paperback)",art
"Secrets (Paperback)",art
"Art of the Renaissance (Paperback)",art
"The Art of The Incredibles (Hardcover)",art
"A Giacometti Portrait (Paperback)",art
"The Helga Pictures (Paperback)",art
"Basquiat: A Quick Killing in Art (Paperback)",art
"The Invisible Dragon: Essays on Beauty (Paperback)",art
"1000 Journals Project (Hardcover)",art
"The Goblin Companion (Hardcover)",art
"Amphigorey Again (Amphigorey, #4)",art
"The Creators: A History of Heroes of the Imagination (Paperback)",art
"The Three Incestuous Sisters (Hardcover)",art
"The Camera (Ansel Adams Photography, #1)",art
"Power of Feminist Art (Paperback)",art
"Meetings with Remarkable Manuscripts (Hardcover)",art
"Participation (Paperback)",art
"Sketch!: The Non-Artist's Guide to Inspiration, Technique, and Drawing Daily Life (Paperback)",art
"The First Drawing (Hardcover)",art
"Sylvia Plath: Her Drawings (Hardcover)",art
"The Art of Rise of the Guardians (Hardcover)",art
"Alphonse Mucha: Masterworks (Hardcover)",art
"Press Here (Hardcover)",art
"The Art of Steampunk (Paperback)",art
"Journal Spilling: Mixed-Media Techniques for Free Expression (Paperback)",art
"Me, Frida (Hardcover)",art
"A Life of Picasso, Vol. 2: The Painter of Modern Life, 1907-1917 (Paperback)",art
"Color Choices: Making Color Sense Out of Color Theory (Paperback)",art
"Desperate Romantics: The Private Lives Of The Pre Raphaelites (Hardcover)",art
"Hawthorne on Painting (Paperback)",art
"Creating Textures in Pen & Ink with Watercolor (Paperback)",art
"Dada and Surrealism: A Very Short Introduction (Paperback)",art
"Sketch Book for the Artist (Hardcover)",art
"The Wright 3 (Chasing Vermeer, #2)",art
"How to Read a Painting: Lessons from the Old Masters (Hardcover)",art
"Spectrum 8: The Best in Contemporary Fantastic Art (Unknown Binding)",art
"The Photographer's Eye (Paperback)",art
"Picasso: Creator And Destroyer (Paperback)",art
"The Morning Star: In Which the Extraordinary Correspondence of Griffin & Sabine is Illuminated (Morning Star Trilogy, #3)",art
"National Geographic: The Photographs (Hardcover)",art
"Castle (Hardcover)",art
"Albrecht Dürer (Paperback)",art
"Spectrum 9: The Best in Contemporary Fantastic Art (Paperback)",art
"In Mary's Garden (Hardcover)",art
"Drawing and Painting Beautiful Faces: A Mixed-Media Portrait Workshop (Paperback)",art
"How to Write About Contemporary Art (Paperback)",art
"Matisse the Master: The Conquest of Colour, 1909-1954 (Hardcover)",art
"Letters on Cézanne (Paperback)",art
"Wonderbook: The Illustrated Guide to Creating Imaginative Fiction (Paperback)",art
"Joy of Zentangle: Drawing Your Way to Increased Creativity, Focus, and Well-Being (Paperback)",art
"The Art of Clean Up: Life Made Neat and Tidy (Hardcover)",art
"Forty-One False Starts: Essays on Artists and Writers (Hardcover)",art
"Tell the Wolves I'm Home (Hardcover)",art
"Inside the Painter's Studio (Paperback)",art
"Cathedral: The Story of Its Construction (Paperback)",art
"The Book of Kells: An Illustrated Introduction to the Manuscript in Trinity College, Dublin (Paperback)",art
"Dark Water: Flood and Redemption in the City of Masterpieces (Hardcover)",art
"Toulouse-Lautrec (Paperback)",art
"The Embarrassment of Riches: An Interpretation of Dutch Culture in the Golden Age (Paperback)",art
"Artist Trading Card Workshop: Create. Collect. Swap. (Paperback)",art
"Art Nouveau (Hardcover)",art
"Cartoon Animation (Paperback)",art
"The Painting of Modern Life: Paris in the Art of Manet and His Followers - Revised Edition (Paperback)",art
"Concepts of Modern Art: From Fauvism to Postmodernism (Paperback)",art
"Perspective as Symbolic Form (Hardcover)",art
"Living the Creative Life: Ideas and Inspirations from Working Artists (Paperback)",art
"Michelangelo (Paperback)",art
"Life Studies: Stories (Paperback)",art
"Trust the Process: An Artist's Guide to Letting Go (Paperback)",art
"Ed Emberley's Drawing Book: Make a World (Paperback)",art
"Women, Art, and Power and Other Essays (Paperback)",art
"The Museum at Purgatory (Paperback)",art
"The Art And Flair Of Mary Blair: An Appreciation (Hardcover)",art
"Friedrich (Paperback)",art
"Japanese Art (Paperback)",art
"Antoni Gaudi (Hardcover)",art
"The Electric State (Hardcover)",art
"The Italian Teacher (Hardcover)",art
"Vincent Can't Sleep: Van Gogh Paints the Night Sky (Hardcover)",art
"A Woman Looking at Men Looking at Women: Essays on Art, Sex, and the Mind (Hardcover)",art
"Things from the Flood (Hardcover)",art
"Drawing Blood (Hardcover)",art
"Rules of Summer (Hardcover)",art
"Vivian Maier: Out of the Shadows (Hardcover)",art
"The Conference of the Birds (Hardcover)",art
"Landscape Painting: Essential Concepts and Techniques for Plein Air and Studio Practice (Hardcover)",art
"Art: The Whole Story (Paperback)",art
"The Art of Up (Hardcover)",art
"Playing with Books: The Art of Upcycling, Deconstructing, and Reimagining the Book  (Paperback)",art
"Art Since 1940: Strategies of Being (Hardcover)",art
"The Venus Fixers: The Remarkable Story of the Allied Soldiers Who Saved Italy's Art During World War II (Hardcover)",art
"Maus II: A Survivor's Tale: And Here My Troubles Began (Maus, #2)",art
"Old Masters, New World: America's Raid on Europe's Great Pictures (Hardcover)",art
"John Singer Sargent (Hardcover)",art
"Expressionism: A Revolution in German Art (Hardcover)",art
"Spectrum 7: The Best in Contemporary Fantastic Art (Paperback)",art
"Alien (Paperback)",art
"Conceptual Art (Phaidon Art and Ideas)",art
"Dime-Store Alchemy (Hardcover)",art
"The Lord of the Rings: The Art of The Return of the King (Hardcover)",art
"Idols of Perversity: Fantasies of Feminine Evil in Fin-de-Siècle Culture (Paperback)",art
"The Epiplectic Bicycle (Hardcover)",art
"Ninth Street Women: Lee Krasner, Elaine de Kooning, Grace Hartigan, Joan Mitchell, and Helen Frankenthaler: Five Painters and the Movement That Changed Modern Art (Hardcover)",art
"Between the Lines: How Ernie Barnes Went from the Football Field to the Art Gallery (Hardcover)",art
"Landscapes: John Berger on Art (ebook)",art
"Think Like an Artist: and Lead a More Creative, Productive Life (Hardcover)",art
"Peacock & Vine: On William Morris and Mariano Fortuny (Hardcover)",art
"The Anatomical Shape of a Heart (Hardcover)",art
"The Crossroads of Should and Must: Find and Follow Your Passion (Hardcover)",art
"Station Eleven (Hardcover)",art
"Brave Intuitive Painting-Let Go, Be Bold, Unfold!: Techniques for Uncovering Your Own Unique Painting Style (Paperback)",art
"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",art
"Renaissance Art: A Very Short Introduction (Paperback)",art
"Drawing for the Absolute Beginner: A Clear & Easy Guide to Successful Drawing (Paperback)",art
"Degas and the Little Dancer: A story about Edgar Degas (Anholt's Artists)",art
"Chagall (Hardcover)",art
"Lives of the Artists: Portraits of Ten Artists Whose Work and Lifestyles Embody the Future of Contemporary Art (Hardcover)",art
"Visions of Heaven and Hell (Hardcover)",art
"The Art of Michael Whelan (Hardcover)",art
"The Art of Amy Brown II (Paperback)",art
"Essential Dali (256 Art Books)",art
"The Diaries of Paul Klee, 1898-1918 (Paperback)",art
"Uncommon Places: The Complete Works (Unknown Binding)",art
"Collage Discovery Workshop: Make Your Own Collage Creations Using Vintage Photos, Found Objects and Ephemera (Paperback)",art
"Henry Darger: Art and Selected Writings (Hardcover)",art
"How to Survive and Prosper as an Artist: Selling Yourself Without Selling Your Soul (Paperback)",art
"A Book of Surrealist Games (Paperback)",art
"The Dehumanization of Art and Other Essays on Art, Culture and Literature (Paperback)",art
"Fairie-ality: The Fashion Collection from the House of Ellwand (Hardcover)",art
"Seven Dada Manifestos and Lampisteries (Paperback)",art
"Girl in a Band (Hardcover)",art
"Aesthetics and Politics (Paperback)",art
"Marcel Duchamp: The Afternoon Interviews (Paperback)",art
"The Scrapbook of Frankie Pratt (Hardcover)",art
"The Complete Watercolorist's Essential Notebook: A Treasury of Watercolor Secrets Discovered Through Decades of Painting and Experimentation (Hardcover)",art
"The Art of Italian Renaissance (Hardcover)",art
"Drawn to Life: 20 Golden Years of Disney Master Classes: Volume 2: The Walt Stanchfield Lectures (Paperback)",art
"Dynamic Wrinkles and Drapery: Solutions for Drawing the Clothed Figure (Paperback)",art
"Wabi Sabi: The Japanese Art of Impermanence (Paperback)",art
"One Place After Another: Site-Specific Art and Locational Identity (Paperback)",art
"Preludes & Nocturnes (The Sandman, #1)",art
"Lady Cottington's Fairy Album (Hardcover)",art
"People of the Book (Hardcover)",art
"The Hundred Headless Woman (Paperback)",art
"Mastering Composition: Techniques and Principles to Dramatically Improve Your Painting (Mastering (North Light Books))",art
"A History of Illuminated Manuscripts (Paperback)",art
"Autobiography (Paperback)",art
"Photographs Annie Leibovitz 1970-1990 (Paperback)",art
"Basilica: The Splendor and the Scandal: Building St. Peter's (Paperback)",art
"Installation Art (Paperback)",art
"Janson's History of Art: The Western Tradition (Hardcover)",art
"Sophie Calle: Did You See Me? (Hardcover)",art
"Artemisia Gentileschi (Paperback)",art
"Ansel Adams: Our National Parks (Paperback)",art
"Paperbacks from Hell: The Twisted History of '70s and '80s Horror Fiction (Paperback)",art
"Autumn (Hardcover)",art
"The Art of Big Hero 6 (Hardcover)",art
"Film Art: An Introduction (Unknown Binding)",art
"The Sky: The Art of Final Fantasy (Hardcover)",art
"Towards a New Architecture (Paperback)",art
"Chopsticks (Paperback)",art
"Talking Pictures: Images and Messages Rescued from the Past (Paperback)",art
"A Life of Picasso: The Triumphant Years: 1917-1932 (Vol 3)",art
"Lee Krasner: A Biography (Hardcover)",art
"Mythologies (Paperback)",art
"The Exquisite Book: 100 Artists Play a Collaborative Game (Hardcover)",art
"The Fundamentals Of Drawing: A Complete Professional Course For Artists",art
"Chalk (Hardcover)",art
"Uncle Andy's: A Faabbbulous Visit With Andy Warhol (Hardcover)",art
"This is Not a Book (Paperback)",art
"Picasso and the Girl with a Ponytail (Paperback)",art
"High Voltage Tattoo (Hardcover)",art
"The Elements of Style (Hardcover)",art
"If You Want to Write: A Book about Art, Independence and Spirit (Paperback)",art
"I, Juan de Pareja (Paperback)",art
"Manet (Taschen Basic Art)",art
"Expedition: Being an Account in Words and Artwork of the 2358 A.D. Voyage to Darwin IV (Paperback)",art
"The Fantastic Art of Beksinski (Hardcover)",art
"Diane Arbus: A Biography (Paperback)",art
"Penguin by Design: A Cover Story 1935-2005 (Paperback)",art
"Wood (Hardcover)",art
"The Very Hungry Caterpillar (Board book)",art
"My Favorite Thing Is Monsters, Vol. 1 (My Favorite Thing Is Monsters, #1)",art
"Caravaggio. The Complete Works (Hardcover)",art
"The Legend of Korra: The Art of the Animated Series Book One: Air (Hardcover)",art
"100 Ideas That Changed Graphic Design (Paperback)",art
"My Ideal Bookshelf (Hardcover)",art
"Andrew Drew and Drew (Hardcover)",art
"Extra Yarn (Hardcover)",art
"Infinity Net: The Autobiography of Yayoi Kusama (Hardcover)",art
"Paris Versus New York: A Tally of Two Cities (Hardcover)",art
"Monet, or the Triumph of Impressionism (Hardcover)",art
"Leaving Van Gogh (Hardcover)",art
"Print Workshop: Hand-Printing Techniques and Truly Original Projects (Paperback)",art
"Classic Human Anatomy: The Artist's Guide to Form, Function, and Movement (Hardcover)",art
"Francisco Goya (Taschen Basic Art)",art
"On n'y voit rien : descriptions (Paperback)",art
"I'd Rather Be in the Studio!: The Artist's No-Excuse Guide to Self-Promotion (Hardcover)",art
"The Artist's Guide: How to Make a Living Doing What You Love (Paperback)",art
"The Arcades Project (Paperback)",art
"Amazing Rare Things: The Art of Natural History in the Age of Discovery (Hardcover)",art
"Tulsa (Paperback)",art
